week,nbpeople,prepost,exchange,numabces,numexcfo,NResidual_nbpeople_Model_1,NResidual_nbpeople_Model_1_A,NResidual_nbpeople_Model_1_B,NResidual_nbpeople_Model_1_C
55,32,0,2074,2,63,-9.25433887953123,-8.52988476235686,-6.81316742447773,-6.81316742447773
56,38,0,2456,15,73,-3.57985946841937,-4.12672921632295,-3.74893330885162,-3.74893330885162
57,50,0,3247,13,88,8.57038080337516,10.5146298802438,10.0870066393564,10.0870066393564
58,47,0,4016,15,58,5.87086134696421,6.55946422290267,8.40453837737687,8.40453837737687
59,37,0,3884,12,49,-4.20425878893305,-5.833351612181,-5.12086604158538,-5.12086604158538
60,39,0,3037,11,54,-2.45465924192393,-3.42724797171807,-4.81056877418669,-4.81056877418669
61,40,0,3593,9,76,-1.40457915132575,-.442169674340974,-1.20605587388205,-1.20605587388205
62,26,0,2190,12,36,-15.3795391060267,-14.8141676179437,-14.0147670922713,-14.0147670922713
63,36,0,3432,2,46,-5.73009974021389,-5.25927864699774,-5.14090690043546,-5.14090690043546
64,36,0,3510,6,58,-5.47969928722302,-2.35150649189608,-1.99113167714895,-1.99113167714895
65,22,0,1950,10,43,-19.479699287223,-18.3008451951694,-15.8603572065617,-15.8603572065617
66,6,1,420,18,8,-1.03519852343968,-.253253401302094,-.483203722000134,-.483203722000134
67,14,1,1400,14,16,7.43543066536463,10.802798200966,11.1508444404285,11.1508444404285
68,10,1,1220,17,14,3.63575102775733,3.37890165709691,6.08325057203778,6.08325057203778
69,5,1,500,10,6,-1.46440915343902,-3.25204849372934,-3.4640193868246,-3.4640193868246
70,7,1,725,6,9,.410390620065543,-.56166199767956,-2.10789921928825,-2.10789921928825
71,10,1,630,7,11,3.46047071066372,3.4487469480609,2.62734031037471,2.62734031037471
72,6,1,610,8,6,-.46440915343902,-.887511401438044,-.873172425552117,-.873172425552117
73,4,1,340,5,4,-2.56456933463537,-3.54379220062765,-3.97392068532611,-3.97392068532611
74,10,1,865,10,10,3.38535057476645,3.20020368657785,2.29170680160244,2.29170680160244
75,3,1,250,15,3,-3.46440915343902,-3.30270979045606,-3.41391911022946,-3.41391911022946
76,6,1,483,11,6,-.639689470532633,-1.59740159178337,-1.63721386347121,-1.63721386347121
77,7,1,560,7,8,.43543066536463,.820744891663646,-.00618079467718285,-.00618079467718285
78,0,1,0,9,0,-6.53952928933628,-6.74618692226643,-6.48723234369359,-6.48723234369359
79,11,1,1200,10,13,4.2851903935701,3.93379062804289,3.53563920308279,3.53563920308279
80,9,1,850,10,10,2.56063089186007,3.49489548790516,3.29388539312362,3.29388539312362
81,5,1,584,9,6,-1.48944919873811,-2.68511667979926,-1.95786985828165,-1.95786985828165
82,6,1,600,11,7,-.589609379934458,-1.36672812735223,-2.43555888866107,-2.43555888866107
83,9,1,800,12,10,2.43543066536463,2.43087715100899,1.73957591765968,1.73957591765968
84,0,1,0,17,0,-6.48944919873811,-6.71044732816262,-6.71170355826352,-6.71170355826352
85,4,1,400,10,4,-2.7148096064299,-3.45607711261176,-3.87438085223624,-3.87438085223624
86,6,1,405,8,8,-.614649425233545,.369806908541819,-.322456264784596,-.322456264784596
