id,gsi,academic,personal
1405,0.339622642,1.8,0.5
1407,0.339622642,2,0.375
1410,0.566037736,1.1,0.5
1413,0.660377358,1.9,1.875
1417,0.679245283,1.1,0.75
1419,1.245283019,2.8,0.625
1423,0.79245283,2.2,1.125
1424,1.811320755,1,2.125
1425,2.735849057,3,3.5
1426,1.038461538,1.3,0.875
1427,0.754716981,2.7,2.125
1435,0.283018868,1.1,0.875
1436,1,1.4,1.125
1443,0.735849057,1.3,2.25
1444,0.264150943,0.4,2.125
1449,0.547169811,1.7,1.75
1450,1.320754717,1,1.25
1456,0.288461538,1.3,1.5
1471,0.339622642,1.8,0.125
1486,0.566037736,2.3,1.625
1530,0.283018868,0.6,0.625
1537,0.698113208,1.5,1.125
1538,0.679245283,0.7,1.875
1539,0.566037736,1.3,1.75
1540,1.641509434,2,2.125
1580,0.679245283,2.9,1.5
1606,1.037735849,0.6,1.875
1607,0.301886792,2.7,0.625
1608,2.884615385,3.8,3.75
1648,0.711538462,2.1,1.25
1650,2.411764706,2.6,2.5
1652,1.603773585,2.5,1.375
1657,1.529411765,2.3,2.25
1661,0.301886792,0.5,1
1665,0.056603774,0.5,0.75
1666,0.698113208,2.5,1.75
1667,1.132075472,2.2,1.5
1673,0.58490566,0.6,1.25
1679,1.660377358,3.4,2.125
1680,0.58490566,3.1,1.75
1681,0.264150943,0.3,0.5
1686,2.301886792,2.9,3.125
1688,0.830188679,1.6,1.125
1694,0.962264151,2.3,2.25
1700,2.075471698,2.7,2.875
1704,0.622641509,1.6,0.75
1705,1.094339623,2.9,1.75
1707,1.076923077,2.2,1.75
1709,0.773584906,1.4,0.875
1754,1.339622642,2.9,2.25
1773,1.365384615,1.8,1.875
2311,0.698113208,0.7,1.375
2312,1.269230769,2.2,1.625
2313,0.433962264,0.3,1
2329,0.20754717,1.3,0.625
2348,1.673076923,2.5,2.625
2365,1.301886792,1.1,1.625
2393,0.905660377,1.3,2.25
2398,2.283018868,1.9,2.875
2399,2.905660377,2.3,2.5
2401,0.396226415,1.9,2.125
2405,0.716981132,2.1,1.125
2407,0.461538462,2.4,0.375
2417,0.132075472,1.2,0.5
2423,0.41509434,1.7,1.25
2433,0.716981132,2.2,1.375
2436,0.403846154,1.9,0.75
2437,0.716981132,1.6,1.5
2438,0.471698113,1.1,2.375
2439,3.433962264,3.9,3
2447,0.962264151,1.4,0.875
2459,0.056603774,1.1,0.75
2460,1.442307692,2.9,3
2461,0.634615385,2.1,0.75
